Scene,Lieu,Début,Fin,Groupe,Style,Lien d'écoute,Description
scène Tête d'affiche,place Kleber,17h00,18h00,Altesse Prune,pop rock,http://fr.myspace.com/altesseprune/ ,"Groupe vainqueur du Tremplin 2013, Altesse Prune produit une musique aux tendances Rock, balayées par des mélodies troublantes, vaporeuses, lumineuses!"
,,18h00,19h00,Ernest,chanson ,http://www.ernestvonstras.com/#,Ernest et ses complices n’ont pas la prétention d’inventer. C’est sûrement parce que leurs influences majeures sont Andersen et Gainsbourg qu’ils se plaisent à faire cohabiter cynisme et onirisme dans une « chanson française d’autrefois » remise au goût du jour.
,,19h00,20h00,Léopldine Hummel,chanson ,http://leopoldinehh.fr/,"Léopoldine HH. joue du piano, de l’accordéon, du ukulélé, de la mini-harpe de la wash board. Léopoldine HH. ne peut pas s’empêcher de rendre hommage à Michael Jackson et de chanter en allemand lorsqu’elle joue de la mini-harpe."
,,20h00,21h00,Matskat,Chanson française ,http://www.matskat.com/,"Matskat c’est un antidépresseur sans les effets secondaires : que du bonheur ! Un chanteur musicien gentiment déjanté, l’esprit en ébullition et la voix nomade."
,,21h00,22h00,Natacha Andréani,variété ,http://www.natachaandreani.eu/,"Révélé dans l'émission The Voice, cette jeune auteur-compositeur-interprète de 19 ans propose une musique entraînante et surtout qui vise à transmettre un message. "
,,22h30,00h00,Gérald De Palmas,pop rock,http://www.depalmas.net/,"Auteur-compositeur-interprète pop rock français, Gérald De Palmas donnera un concert exceptionnel sur la place Kléber le 21 juin 2014. 
Après 3 ans de tournée, Gérald De Palmas présente son 6e album sobrement intitulé De Palmas. "
,,,,Benjamin Bohem,chanson ,https://www.facebook.com/BenjaminBohem,"Jeune auteur compositeur interprète, Benjamin Bohem est révélé dans l’émission de télécrochet Nouvelle Star, en 2010."
scène Jeunes Talents,Place de l'Etal,16h00,16h45,Mister SAS,Hip-hop,https://www.youtube.com/user/MrSas545,"D’origine sénégalais, Mister SAS a débuté la musique dans son pays natal, avant d’arriver en France en 2008 pour les études. Il travail en étroite collaboration avec l’association Les Sons D’la Rue."
,,17h00,17h45,Fresh Powders,rock / blues,https://soundcloud.com/fresh-powders,"Ce groupe aux influences blues et celtiques est composé de cinq membres : Matthieu au chant et à la guitare, Pierre à la guitare, Alexandre à la batterie, Guillaume à la basse et Chadouard à la guitare rythmique."
,,18h00,18h45,Black Sun,pop / rock,https://www.youtube.com/watch?v=uhxO-jcdJaw,"Le groupe Black Sun, formé en 2010 à Strasbourg, officie dans une veine funk-rock-pop.La polyvalence musicale des membres du groupe, ainsi que leur évidente complicité constituent de solides atouts dans la composition commune des musiques. "
,,19h00,19h45,Private Haze,pop / rock,https://soundcloud.com/privatehaze/,"Fortement influence par l’esprit fiévreux du post punk de la fin des années 70, Private Haze revendique un son à la fois puissant et mélancolique, parfois brutal, parfois plus intime, mais toujours sincère."
,,20h00,20h45,Caesaria,rock / funk,https://soundcloud.com/caesaria/french-hook,"Caesaria est une alchimie mêlant le groove du funk aux riffs puissants du rock anglo-saxon sur lesquels des chœurs harmonises viennent se superposer. Naviguant entre les genres, les époques et les univers, a crée son identité."
,,21h00,21h45,Sombonaria,electro rock,http://sombonoria.bandcamp.com/,"Formés dans quatre univers très différents, les musiciens de sombonoria se retrouvent dans des morceaux d'électro-rock énergiques aux accents étrangers. Les quelques histoires racontées ça-et-là résonnent sur un son d'usine et de machines, de distorsions crépitantes et de basses absorbantes."
,,22h00,22h45,KWARX,pop / rock,http://www.reverbnation.com/kwarx,Cold Grunge : Terme musical apparu avec la formation du groupe à l’hiver 2011. Décrivant avec éloquence l’hystérie du comportement humain sous ses diverses formes et portée par une musique rock alternant des côtés planants et enragés dans des compositions déstructurées et minimalistes.
,,23h00,23h45,Tamanoir,pop / rock,http://www.tamanoir.bandcamp.com,"Tamanoir est un groupe de pop-rock strasbourgeois, qui s’est formé en 2013. Le groupe essaye de redonner une place au rock français dans le paysage musical d’aujourd’hui, en s’inspirant de la pop anglaise et du rock des années 70."
,,00h00,00h45,Swillbelly,rock / pop,https://www.facebook.com/Swillbelly,"Issus de diverses formations musicales avec, pour certains, de grosses expériences dans d’autres formations, les membres de Swillbelly se sont rencontrés courant 2013 et construisent leur univers au fil des rencontres."
,,00h45,01h30,The Grand Bay,pop / alternative,https://soundcloud.com/thegrandbay,"Groupe de minimal pop fraichement crée, ce trio composé de Lukass au chant et à la guitare, Jacques à la guitare et Rajen à la basse, propose des compositions originales. "
scène Découverte,Place Gutenberg,16h00,16h45,Argane Fusion,musique du monde,http://www.arganefusion.com/plugins/musicv1/musique.php?lng=fr,"Une invitation au voyage qui prend ses sources à la racine des musiques traditionnelles et populaires du Maroc, mélangée à des saveurs rock, Reggae, soul, blues, gnawa et arabo andalous."
,,17h00,17h45,Lukass Edgar,pop alternativ,https://soundcloud.com/lukass-edgar,Lukass Edgar est un auteur-compositeur passionné par la musique. Il compose principalement de la pop minimal et de la pop alternative.
,,18h00,18h45,Joy & Glory,folk / pop,http://joyandglory.bandcamp.com/,"Au détour de ballades folk et de quelques lignes pop, Joy & Glory vous emmène loin dans le rêve et le songe. C’est sur scène que les morceaux vivent réellement, laissant place à une belle émotion, intimiste et véritable."
,,19h00,19h45,Selia,R&B/soul / pop,https://soundcloud.com/seliamusic/sets/selia/s-wazMR,"D’inspiration soul et motown, et teinté de pop et de rap, l’univers de Selia se veut éclectique, plein de peps et de douceur à la fois."
,,20h00,20h45,Alice Roger,(invité de Dresde),http://www.aliceroger.de/,"Combinant des éléments entre le punk et le rock, mais aussi entre la pop et le blues, ce groupe allemand sait comment faire danser le public avec des chansons pleines d’énergies."
,,21h00,21h45,Shaka'n Roots,Reggae / musique du monde,http://www.zikpot.fr/artiste-Dgereason,"Artiste autodidacte, il découvre le reggae dès son enfance"
,,22h00,22h45,Caterva,electro / hip-hop,https://soundcloud.com/caterva,"Caterva c’est un live et un album à la croisée des chemins entre le Sud et le Nord, au cœur même de la Global Bass. "
,,23h00,23h45,Karejka,pop / electro,http://karejka.bandcamp.com/,"C’est au son d’une beat techno pop implacable et entêtante que Karejka vocalise ses textes existentiels et incisifs. Seul en scène, l’insaisissable Karejka livre son étrange présence à un live intense et entraînant, où fusionnent machines, voix et mouvements."
,,00h00,00h45,Clockwise & Skeyes,DJ / electro,https://soundcloud.com/djclockwise,"A 16 ans, Clockwise, jeune DJ résidant à Strasbourg, n'est pas vraiment ce qu'on peut appeler un David Guetta ou un Afrojack mais en tout cas même sans instrument ou matériel de DJ, Mohamed fait de son mieux pour révolutionner son style électro."
,,00h45,01h30,Clé de Soul,soul,,"Clé de soul, c’est deux univers radicalement opposés, très et puissant pour l’un, très soul, doux et mélancolique pour l’autre. Ce mélange des styles offre un univers groovy et intimiste tout en acoustique, suave, mélancolique mais puissant comme un Roc."
scène Découverte,Place du Château,16h00,16h45,Ecoles de musique,,,"Les écoles de musiques de Strasbourg s'associent à la fête de la musique. Retouvez les Sonneurs de cornemuses école de musique de Cronenbourg, le centre musical de la Krutenau et l'Atelier de jazz de Pôle Sud."
,,17h00,17h45,,,,
,,18h00,18h45,,,,
,,19h00,19h45,MUSES,polyphonie,http://myspace.com/muses.creaphony,"Muses propose au grand public un répertoire de polyphonies a capella issues des périodes médiévale, renaissance et du fond traditionnel des régions françaises et au-delà."
,,20h00,20h45,Petites gens,reggae français,https://www.youtube.com/watch?v=Q_1U8VUuKOw,"Petites Gens est un jeunes groupe composé d’un guitariste et d’un chanteur, aux influences diverses, proposant un voyage musical plein d’humour."
,,21h00,21h45,CTBAB ( Cary T. Brown & Aurélien Boilleau),alternative / folk,http://www.ctbab.fr/booking/3,"Ce duo franco-américain d’une complicité rare, nous propose un voyage humain et sincère loin des courses effrénées … A travers un saut transatlantique des grands espaces aux réalités urbaines, laissez vous porter par deux chanteurs qui se répondent antre folk US et rock européen."
,,22h00,22h45,John Efka,chanson / pop,http://johnefka.com/music/,"John Efka est un être lunaire avec les pieds bien ancrés sur terre qui écrit des textes qu’il met en rythme avec sa guitare. Ses chansons nourris d’instants de vie joyeux, tristes, anodins voir excentriques nous transportent et nous intriguent."
,,23h00,23h45,Olivier,chanson,https://soundcloud.com/olivier-musica,"Avec sa guitare acoustique il touche à l’intime et dévoile son univers rythmé de swing et de ballades mélancoliques. Quand il s’agit d’exulter l’amour, son texte se pose doucement au creux d’une oreille, quand il s’agit de décortiquer l’humain, il livre des mots plus abrupts."
,,00h00,00h45,Les Raisins Secs,chanson / musique du monde,http://www.les-raisins-secs.com/,"Cet ensemble acoustique strasbourgeois vous emmène dans un voyage tout en chanson où s’entremêlent cordes et bois, jazz, swing et Flamenco. Une musique métisse, au service des textes tantôt touchants, tantôt grinçants où le second degré se manie comme une deuxième nature."
,,00h45,01h30,Orchestra Minima Mysticanza,musique du monde / jazz,http://www.myspace.com/mysticanza,"Le trio acoustique va vous faire redécouvrir les racines de la musique méditerranéenne et européenne, point de départ pour un voyage à travers le temps, les lieux et les cultures lointaines. "
Scène Rock,Place de la Bourse,16h00,16h45,Oslo,pop rock,https://soundcloud.com/epapix/sets/oslo,"Rock, sonorité forte et puissante qui prend au tripes, qui ne peut pas laisser indifférent. Une vraie alchimie entre ces 4 comparses : quand la musique s’arrête, qu’une seule envie, que cela recommence !"
,,17h00,17h45,Tedmo Festival,rock swing,http://www.black-sun-music.com/,"Fusion explosive entre rock et swing, l’univers particulier de Tedmo Festival s’exprime par un fulminant métissage d’influences. Bien que son étrange nom puise son inspiration dans la culture himalayenne, le groupe a su s’affirmer par son live à la fois festif et énervé."
