Scene,Lieu,Début,Fin,Groupe,Style,Description
scène Tête d'affiche,place Kleber,18:00,19:00,HARMONY PIPOL,"afro-caribéens, folk, blues","Un groupe de musiciens qui a su inventer son propre style avec un subtil mélange de rythmes afro-caribéens, de folk et de blues."
,,19:00,20:00,RUE BOILEAU,"Jazz, funk, hip-hop","Vainqueur du concours Jeunes Talents de la Fête de la Musique en 2015, Rue Boileau vous invite à découvrir son univers jazz, funk, hip-hop… "
,,20:00,21:00,DERYA ,Chanson française,Retrouvez cette jeune artiste après avoir remporté le concours Voie des Talents 2015 et un passage remarqué à The Voice en 2016.
,,21:00,22:00,THOMAS SCHOEFFLER JR,"folk country, blues","Artiste de l'année Hopl'Awards 2015 et One man band strasbourgeois, ses chansons abordent la désespérance, l’errance et l’amour et laissent souffler un vent venu du sud-est des Etats-Unis. "
,,22:15,00:00,THOMAS DUTRONC,Chanson française,"Artiste de scène reconnu, tour-à-tour guitariste émérite, poétique et drôle, il nous surprend à nouveau avec ce troisième album ""Éternels Jusqu'à demain"", plébiscité par la critique et réalisé par le producteur star John Kelly (Paul Mc Cartney, Kate Bush...).Entouré de merveilleux musiciens, Thomas Dutronc mêle des chansons aux sonorités plus pop à la virtuosité du style manouche et nous promet et passer un moment onirique et swinguant ! "
scène Découverte,Place gutenberg,18:00,18:50,PELICANTO,chorale,"Avec 50 choristes de tous âges, la chorale propose un répertoire riche et varié."
,,18:50,19:40:00,MMK,Pop,Des textes en français portés par un style musical “pop folk festif”
,,19:40,20:30,GINGER H *,Pop,"À quatre, cette formation dévoile une musique intense et sincère."
,,20:30,21:20,STINA MARI,pop folk,groupe invité de Dresde
,,21:20,22:10,UNDERVOID,rock français,"Du rock brut et sauvage, explosif!"
,,22:10,23:00,FACING STANLEY,rock métal,"Révélation des Hopl'Awards 2015, le groupe vous invite à découvrir son univers énergique."
,,23:00,23:50,MADOUBE PROJECT ,musique africaine,Le groupe de Moussa Coulibaly : World Music Afro-mandingue du Burkina Faso
,,23:50,00:30,MANTIK,funk hip hop,"Enflammé, mélodieux, vibrant, captivant…"
scène Découverte,Place de l'Etal,18:00,18:50,ROOM 8 TRIO,jazz,"Trio féminin violoncelle, piano, batterie aux influences très jazzy"
,,18:50,19:40:00,TARAFAL'GAR,Klezmer,"Réunis par les musiques de l'Est et des Balkans, le groupe propose de partager leur énergie rythmée "
,,19:40,20:30,CALL ME CHERRY,funk,Fruit des amours improbables entre Red Hot Chili Peppers et Etta James. 
,,20:30,21:20,TRISTAN AND THE STRANGE WORDS*,glam rock,"Après un accident temporel survenu en 1966, Tristan s’est retrouvé projeté en 2016."
,,21:20,22:10,TO THEME,world,"Influences rock aux balades nocturnes apaisantes, touches électro à la rondeur du folk."
,,22:10,23:00,DEER BOY*,Rock electro,Electro-pop entre rêverie et bougeotte.
,,23:00,23:50,ELEPHANT SKIN*,heavy blues - rock," The dead weather, the Black keys, The kills !"
,,23:50,00:30,MAMA SUN SYSTEM,Reggae,"Rencontre entre groupe live et dub sur console, influencé par la musique reggae, dub et électro."
Scène Culture Urbaine,Parvis médiathèque André Malraux,18:00,18:30,DJ ZONE   , Hip-Hop,"Cette année encore, la fête de la musique Scène Cultures urbaines édition 2016, en partenariat avec l'association Ready to Rumble, fera la part belle aux groupes locaux représentatifs d’une belle énergie ! Que ce soit en chant, danse ou dj’ing, le parti pris est de donner leur chance aux débutants tout en continuant à faire de la place aux artistes confirmés et une fois n’est pas coutume, ce sont les DJ’s qui clôtureront ce bel évènement !"
,,18:30,18:35,STAND UP ),danse Hip-Hop,
,,18:35,19:00,DJ STAN SMITH   , Hip-Hop,
,,19:00,19:10,BLEND SQUAD, danse Dancehall,
,,19:10,19:30,FONKY D      , Hip-Hop,
,,19:30,20:00,DRUGSTORE  , Hip-Hop,
,,20:00,20:15,DJAZZ , Hip-Hop,
,,20:15,20:20,STAND UP ),danse Hip-Hop,
,,20:20,20:45,JOHARY    “Le Gagnant du New Soul Contest 2016” ,,
,,20:45,21:10,SIRHILL , Hip-Hop,
,,21:10,21:20,MANON MEKKA , Hip-Hop,
,,21:20,21:45,SALIGO & GOUMA, Hip-Hop,
,,21:45,22:10,DAH CONNECTAH      , Hip-Hop,
,,22:10,22:15,STAND UP,danse Hip-Hop,
,,22:15,22:45,BLOCKSTOP  , Hip-Hop,
,,22:45,23:15,BBK , Hip-Hop,
,,23:15,23:30,IN FAYA ,danse Dancehall,
,,23:30,00:00,NO LIMIT SHOW    , Hip-Hop,
,,00:00,00:30,DJ T.KILLA & DJ SWA, Hip-Hop,
scène partenaire,Place Broglie,18:00,00:30,CAFE DE L'OPERA,House,
scène partenaire,Place de Zurich,18:00,00:30,ART RYTHM,Electro Detroit,
scène partenaire,Place Saint-Thomas,18:00,00:30,ACOARUS, folk rock,
scène partenaire,Place des Meuniers,18:00,00:30,BASTA SEXTET,Jazz,
scène partenaire,Place d'Austerlitz,18:00,00:30,ETERNAL MUSIC,DJ,
scène partenaire,Place de l'Univesité,18:00,00:30,ANTIPOD,Electro,
scène partenaire,Place St-Etienne,18:00,00:30,LONGEVITY,Electro- soul,
scène partenaire,Place Mathias ,18:00,00:30,LES AVIATEURS,Musique live,
scène partenaire,Place Arnold,18:00,00:30,LES ATELIERS D'EDEN,Musique du monde et rock,
scène partenaire,"Square Saint Florent 
à Cronenbourg",14:15,15:15,ASSOCIATION POUR LA PROMOTION DU CHANT SCOLAIRE (durée : 1h),Chorale d’enfants,
scène partenaire,Square Louise Weiss,18:00,00:30,LES JETS,Rock,
scène partenaire,Place des tripiers,18:00,00:30,LES BERTHOM,"Chanson française, dance hall, funk ",
scène partenaire,Place Saint Pierre Le Jeune,18:00,00:30,SOFITEL,DJ,
scène partenaire,Terasse du TNS,18:00,00:30,CAFE DE L'OPERA,Techno,
